GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
311,104,3,4,3.5,8.13,1
335,115,4,4.5,4.5,9.68,1
301,99,3,2.5,2,8.45,1
300,98,1,2,2.5,8.02,0
338,117,4,3.5,4.5,9.46,1
317,104,2,4.5,4,8.47,0
298,99,2,4,2,7.6,0
324,111,5,4.5,4,9.16,1
320,112,2,3.5,3.5,8.78,1
312,104,3,3.5,4,8.09,0
322,110,5,5,4,9.1,1
322,104,3,3.5,4,8.84,1
298,92,1,2,2,7.88,0
297,100,1,1.5,2,7.9,0
327,104,5,3,3.5,8.84,1
328,115,4,4.5,4,9.16,1
334,116,4,4,3,8,1
310,104,3,2,3.5,8.37,0
319,108,2,2.5,3,8.76,0
337,118,4,4.5,4.5,9.65,1
329,110,2,4,3,9.15,1
296,101,1,2.5,3,7.68,0
309,105,4,3.5,2,8.18,0
329,114,5,4.5,5,9.19,1
318,109,3,3.5,4,9.22,1
321,111,3,3.5,4,8.83,1
309,108,3,2.5,3,8.12,0
309,105,5,3.5,3.5,8.56,0
318,112,3,4,3.5,8.67,0
316,100,2,1.5,3,8.16,1
301,96,1,3,4,7.56,0
305,105,2,3,4,8.13,0
323,113,3,4,4,8.88,1
324,113,5,4,5,9.25,1
314,102,4,2.5,2,7.88,1
299,106,2,4,4,8.4,0
313,106,2,2.5,2,8.43,0
321,110,3,3.5,5,8.85,1
297,96,2,2.5,1.5,7.89,0
325,110,4,3.5,4,8.67,1
313,103,3,4,4,8.75,0
308,110,3,3.5,3,8,1
307,105,2,2.5,4.5,8.12,1
312,109,2,2.5,4,9.02,0
321,111,4,4,4,8.97,1
302,99,2,1,2,7.97,0
290,100,1,1.5,2,7.56,0
295,96,2,1.5,2,7.34,0
323,108,3,3.5,3,8.6,0
325,114,4,3,2,8.4,0
312,103,3,5,4,8.45,0
314,109,4,3.5,4,8.77,1
327,112,3,3,3,8.72,1
300,97,2,3,3,8.1,1
306,106,2,2,2.5,8.14,0
336,118,5,4.5,4,9.19,1
330,116,5,5,4.5,9.36,1
308,103,2,2.5,4,8.36,1
319,108,3,3,3.5,8.54,1
317,106,3,3.5,3,7.89,1
303,98,1,2,2.5,7.65,0
313,107,3,4,4.5,8.69,0
308,106,3,3,3,8.24,0
334,114,4,4,4,9.43,1
296,99,2,2.5,2.5,8.03,0
327,115,4,3.5,4,9.14,0
316,105,2,2.5,2.5,8.2,1
301,102,3,2.5,2,8.13,1
335,117,5,5,5,9.56,1
328,116,4,5,3.5,9.6,1
338,115,5,4.5,5,9.23,1
294,93,1,1.5,2,7.36,0
311,104,2,2.5,3.5,8.48,0
329,114,2,2,4,8.56,1
296,95,2,3,2,7.54,1
323,110,4,4,5,8.88,1
312,100,2,1.5,3.5,7.9,1
328,108,4,4.5,4,9.18,1
315,103,1,1.5,2,7.86,0
322,110,3,4,5,8.64,1
339,119,5,4.5,4,9.7,0
313,94,2,2.5,1.5,8.13,0
321,114,4,4,5,9.12,0
313,102,3,2.5,2.5,8.68,0
306,100,2,3,3,8,0
302,101,2,2.5,3.5,7.96,0
311,103,3,2,4,8.09,0
312,106,3,4,3.5,8.79,1
329,111,4,4.5,4,9.01,1
327,113,4,4.5,4.5,9.04,0
304,103,5,5,4,8.64,0
330,113,5,5,4,9.31,1
321,114,5,4.5,4.5,9.16,1
308,102,2,2,3.5,7.98,1
312,105,3,2,3,8.02,1
307,110,4,4,4.5,8.37,0
321,111,5,5,5,9.45,1
311,105,2,3,2,8.12,1
321,102,3,3.5,4,9.01,1
323,107,4,3,2.5,8.48,1
318,110,1,2.5,3.5,8.54,1
312,106,3,3,5,8.57,0
312,108,3,3.5,3,8.53,0
319,105,3,3,3.5,8.67,1
314,99,4,3.5,4.5,8.73,1
309,111,2,2.5,4,8.03,0
327,113,4,3.5,3,8.69,1
332,118,2,4.5,3.5,9.36,1
326,116,2,4.5,3,9.08,1
317,103,3,2.5,3,8.54,1
325,112,2,3,3.5,8.96,1
302,102,1,2,1.5,8,0
326,113,5,4.5,4,9.4,1
324,114,5,5,4.5,9.08,1
323,112,5,4,4.5,8.78,0
321,109,4,4,4,9.13,1
333,118,5,5,5,9.35,1
306,103,3,3.5,3,8.21,0
318,101,5,3.5,5,8.78,1
331,115,5,4.5,3.5,9.36,1
295,101,2,2.5,2,7.86,0
326,112,4,4,3.5,9.12,1
300,101,3,3.5,2.5,7.88,0
319,110,3,3.5,3.5,9.04,0
306,103,2,2.5,3,8.36,0
319,103,4,4.5,3.5,8.66,0
312,105,2,1.5,3,8.46,0
312,101,2,2.5,3.5,8.04,1
312,107,2,2.5,3.5,8.27,0
318,106,2,4,4,7.92,1
316,106,2,2.5,4,8.32,0
305,105,2,3,2,8.23,0
326,111,5,4.5,4,9.23,1
327,113,4,4.5,5,9.14,0
339,114,5,4,4.5,9.76,1
338,120,4,5,5,9.66,1
322,114,5,4.5,4,8.94,1
311,98,1,1,2.5,7.46,0
304,100,4,1.5,2.5,7.84,0
295,99,1,2,1.5,7.57,0
320,110,2,4,3.5,8.56,0
306,110,2,3.5,4,8.45,0
300,102,3,3.5,2.5,8.17,0
300,105,1,1,2,7.8,0
310,103,2,2.5,2.5,8.24,0
324,111,4,3,3,9.01,1
316,104,3,3,3.5,8,1
321,109,3,3,4,8.2,1
339,116,4,4,3.5,9.8,1
317,103,2,2.5,2,8.15,0
340,120,5,4.5,4.5,9.91,1
311,107,4,4.5,4.5,9,1
309,106,2,2.5,2.5,8,0
317,106,2,2,3.5,8.12,0
328,113,4,4,2.5,8.77,1
330,120,5,4.5,5,9.56,1
332,119,4,5,4.5,9.24,1
332,118,5,5,5,9.47,1
312,103,3,3.5,4,8.78,0
331,116,4,4.5,4.5,9.44,1
326,112,3,3.5,3,9.1,1
317,105,3,3.5,3,8.56,0
323,104,3,4,4,8.44,1
322,110,4,4,5,9.13,1
324,107,5,3.5,4,8.66,1
306,105,2,3,2.5,8.26,0
311,101,2,2.5,3.5,8.34,1
322,112,4,3.5,2.5,9.02,1
320,113,2,2,2.5,8.64,1
323,110,3,4,3.5,9.1,1
317,106,3,4,3.5,8.5,1
314,102,2,2,2.5,8.24,0
295,93,1,2,2,7.2,0
326,116,3,3.5,4,9.14,1
324,112,4,4,2.5,8.1,1
302,99,1,2,2,7.25,0
313,109,3,4,3.5,9,0
315,105,2,2,2.5,7.65,0
323,113,3,4,3,9.32,1
314,106,2,4,3.5,8.25,0
315,104,3,3,2.5,8.33,0
324,109,3,3.5,3,8.94,1
329,113,4,4,3.5,9.36,1
301,107,3,3.5,3.5,8.34,1
321,109,3,3.5,3.5,8.8,1
311,105,3,3.5,3,8.45,1
308,108,3,3.5,3.5,8.22,0
307,102,3,3,3,8.27,0
304,103,5,5,3,7.92,0
301,98,1,2,3,8.03,1
322,107,3,3.5,3.5,8.46,1
318,106,3,2,3,8.65,0
329,113,5,5,4.5,9.45,1
310,102,3,3.5,4,8.02,1
305,96,4,3,4.5,8.26,0
329,119,4,4.5,4.5,9.16,1
336,118,5,4.5,5,9.53,1
315,105,3,2,2.5,8.48,0
335,117,5,5,5,9.82,1
331,112,5,4,5,9.8,1
305,106,2,3,3,8.16,0
324,110,4,3,3.5,8.97,1
327,103,3,4,4,8.3,1
307,101,3,4,3,8.2,0
313,107,2,2.5,2,8.5,1
331,117,4,4.5,5,9.42,1
301,100,3,3.5,3,8.04,0
304,101,2,2,2.5,7.66,0
318,107,3,3,3.5,8.27,1
325,112,4,4,4,9,1
316,101,2,2.5,2,8.32,1
336,119,5,4,3.5,9.8,1
316,107,2,3.5,3.5,8.64,1
331,119,4,5,4.5,9.34,1
303,102,3,3.5,3,8.5,0
325,114,5,4,5,9.46,1
320,108,3,3.5,5,8.97,1
323,110,5,4,5,8.98,1
328,110,4,5,4,9.14,1
308,101,2,3,4,7.9,0
327,113,4,4.5,4.5,9.11,1
320,111,4,4.5,3.5,8.87,1
325,107,3,3,3.5,9.11,1
334,120,5,4,5,9.87,1
304,105,1,3,1.5,7.5,0
325,114,3,3.5,3,9.04,1
314,105,2,2.5,2,7.64,0
317,107,3,3.5,3,8.68,1
312,103,4,4,5,8.43,0
297,99,4,3,3.5,7.81,0
305,102,2,2,2.5,8.18,0
310,106,4,1.5,2.5,8.36,0
311,99,1,2.5,3,8.43,1
306,105,2,2.5,3,8.22,1
325,112,4,3.5,3.5,8.92,0
324,112,4,4,3.5,8.77,1
314,105,3,3.5,2.5,8.3,0
312,105,2,2.5,3,8.12,0
330,114,4,4.5,3,9.17,1
316,102,2,4,3.5,8.15,0
334,117,5,4,4.5,9.07,1
302,99,3,2.5,3,7.45,0
312,98,1,3.5,3,8.18,1
325,112,4,4,4.5,9.17,1
319,110,3,3,2.5,8.79,0
338,118,4,3,4.5,9.4,1
319,106,3,4,3,8,1
325,108,4,4.5,4,9.06,1
307,107,2,3,3.5,8.52,1
328,112,4,4,4.5,9.1,1
310,110,1,1.5,4,7.23,1
