,Chance of Admit 
0,0.74
1,0.93
2,0.68
3,0.61
4,0.91
5,0.57
6,0.46
7,0.9
8,0.73
9,0.71
10,0.88
11,0.78
12,0.51
13,0.52
14,0.71
15,0.78
16,0.78
17,0.7
18,0.66
19,0.92
20,0.84
21,0.6
22,0.65
23,0.86
24,0.68
25,0.77
26,0.72
27,0.71
28,0.71
29,0.71
30,0.54
31,0.66
32,0.79
33,0.92
34,0.59
35,0.64
36,0.62
37,0.82
38,0.43
39,0.73
40,0.76
41,0.46
42,0.67
43,0.8
44,0.87
45,0.56
46,0.47
47,0.47
48,0.45
49,0.7
50,0.76
51,0.82
52,0.74
53,0.65
54,0.61
55,0.92
56,0.93
57,0.7
58,0.71
59,0.73
60,0.56
61,0.72
62,0.58
63,0.93
64,0.61
65,0.79
66,0.49
67,0.68
68,0.94
69,0.93
70,0.91
71,0.46
72,0.71
73,0.72
74,0.44
75,0.81
76,0.56
77,0.84
78,0.57
79,0.85
80,0.89
81,0.56
82,0.85
83,0.71
84,0.48
85,0.46
86,0.64
87,0.81
88,0.81
89,0.84
90,0.68
91,0.91
92,0.87
93,0.58
94,0.5
95,0.79
96,0.93
97,0.73
98,0.8
99,0.78
100,0.67
101,0.71
102,0.69
103,0.73
104,0.71
105,0.6
106,0.8
107,0.9
108,0.8
109,0.73
110,0.8
111,0.5
112,0.91
113,0.89
114,0.79
115,0.85
116,0.92
117,0.64
118,0.78
119,0.93
120,0.69
121,0.84
122,0.59
123,0.82
124,0.69
125,0.76
126,0.66
127,0.68
128,0.69
129,0.64
130,0.72
131,0.67
132,0.88
133,0.83
134,0.96
135,0.95
136,0.86
137,0.57
138,0.42
139,0.37
140,0.72
141,0.63
142,0.63
143,0.58
144,0.72
145,0.82
146,0.72
147,0.75
148,0.96
149,0.65
150,0.97
151,0.78
152,0.62
153,0.73
154,0.83
155,0.93
156,0.9
157,0.94
158,0.67
159,0.92
160,0.84
161,0.68
162,0.73
163,0.86
164,0.81
165,0.73
166,0.7
167,0.73
168,0.81
169,0.79
170,0.75
171,0.64
172,0.46
173,0.81
174,0.72
175,0.57
176,0.79
177,0.39
178,0.85
179,0.62
180,0.67
181,0.78
182,0.89
183,0.62
184,0.74
185,0.59
186,0.61
187,0.73
188,0.71
189,0.67
190,0.71
191,0.71
192,0.89
193,0.66
194,0.54
195,0.9
196,0.94
197,0.75
198,0.96
199,0.94
200,0.64
201,0.84
202,0.74
203,0.47
204,0.53
205,0.94
206,0.67
207,0.38
208,0.74
209,0.8
210,0.61
211,0.97
212,0.57
213,0.9
214,0.62
215,0.91
216,0.84
217,0.87
218,0.82
219,0.68
220,0.89
221,0.85
222,0.84
223,0.97
224,0.52
225,0.76
226,0.7
227,0.84
228,0.73
229,0.54
230,0.62
231,0.57
232,0.71
233,0.72
234,0.55
235,0.8
236,0.54
237,0.64
238,0.86
239,0.67
240,0.89
241,0.52
242,0.64
243,0.85
244,0.72
245,0.91
246,0.65
247,0.79
248,0.78
249,0.78
250,0.58
251,0.72
252,0.59
253,0.53
254,0.86
255,0.44
256,0.7
257,0.64
258,0.87
259,0.78
260,0.64
261,0.72
262,0.66
263,0.7
264,0.95
265,0.52
266,0.94
267,0.93
268,0.83
269,0.7
270,0.49
271,0.63
272,0.96
273,0.64
274,0.58
275,0.76
276,0.65
277,0.45
278,0.77
279,0.79
280,0.64
281,0.48
282,0.89
283,0.54
284,0.9
285,0.9
286,0.82
287,0.68
288,0.59
289,0.52
290,0.77
291,0.79
292,0.89
293,0.82
294,0.62
295,0.57
296,0.68
297,0.64
298,0.87
299,0.94
300,0.9
301,0.36
302,0.71
303,0.64
304,0.78
305,0.66
306,0.86
307,0.7
308,0.79
309,0.76
310,0.65
311,0.76
312,0.56
313,0.92
314,0.95
315,0.8
316,0.94
317,0.71
318,0.75
319,0.45
320,0.74
321,0.87
322,0.8
323,0.58
324,0.64
325,0.72
326,0.77
327,0.73
328,0.81
329,0.61
330,0.54
331,0.62
332,0.92
333,0.59
334,0.71
335,0.36
336,0.63
337,0.65
338,0.79
339,0.42
340,0.44
341,0.73
342,0.66
343,0.69
344,0.77
345,0.74
346,0.65
347,0.96
348,0.8
349,0.61
350,0.34
351,0.7
352,0.91
353,0.56
354,0.76
355,0.64
356,0.54
357,0.93
358,0.53
359,0.7
360,0.74
361,0.86
362,0.89
363,0.57
364,0.72
365,0.78
366,0.62
367,0.76
368,0.81
369,0.75
370,0.74
371,0.78
372,0.63
373,0.52
374,0.82
375,0.92
376,0.67
377,0.64
378,0.83
379,0.92
380,0.61
381,0.71
382,0.67
383,0.81
384,0.91
385,0.68
386,0.8
387,0.86
388,0.79
389,0.94
390,0.71
391,0.79
392,0.62
393,0.34
394,0.58
395,0.82
396,0.77
397,0.73
398,0.93
399,0.61
