GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
304,100,2,2.5,3.5,8.07,0
316,104,3,3.0,3.5,8.0,1
317,106,1,1.5,3.5,7.65,1
329,114,5,4.5,5.0,9.19,1
331,116,4,4.5,4.5,9.44,1
326,110,3,3.5,3.5,8.76,1
299,100,3,2.0,2.0,8.02,0
322,109,5,4.5,3.5,8.8,0
321,111,4,4.0,4.0,8.97,1
330,113,5,5.0,4.0,9.31,1
329,113,4,4.0,3.5,9.36,1
296,97,2,1.5,2.0,7.8,0
312,103,3,3.5,4.0,8.78,0
322,105,2,3.0,3.0,8.45,1
321,109,3,3.0,3.0,8.54,1
325,110,4,3.5,4.0,8.67,1
324,114,5,5.0,4.5,9.08,1
310,104,3,2.0,3.5,8.37,0
318,106,2,4.0,4.0,7.92,1
327,115,4,3.5,4.0,9.14,0
319,110,3,3.5,3.5,9.04,0
311,102,3,4.5,4.0,8.64,1
312,104,3,3.5,4.0,8.09,0
316,102,2,4.0,3.5,8.15,0
319,108,3,3.0,3.5,8.54,1
325,106,3,3.5,4.0,8.4,1
305,108,5,3.0,3.0,8.48,0
325,114,5,4.0,5.0,9.46,1
312,105,2,2.5,3.0,8.12,0
332,118,5,5.0,5.0,9.47,1
306,103,2,2.5,3.0,8.36,0
312,106,3,4.0,3.5,8.79,1
309,100,2,3.0,3.0,8.1,0
294,93,1,1.5,2.0,7.36,0
316,105,2,2.5,2.5,8.2,1
315,105,3,2.0,2.5,8.48,0
312,101,2,2.5,3.5,8.04,1
323,113,3,4.0,3.0,9.32,1
316,102,3,2.0,3.0,7.4,0
305,106,2,3.0,3.0,8.16,0
327,118,4,5.0,5.0,9.67,1
317,107,2,3.5,3.0,8.28,0
307,105,2,2.5,4.5,8.12,1
307,101,3,4.0,3.0,8.2,0
322,104,3,3.5,4.0,8.84,1
308,106,3,3.0,3.0,8.24,0
311,101,3,2.0,2.5,7.64,1
313,107,3,4.0,4.5,8.69,0
332,119,4,5.0,4.5,9.24,1
301,106,4,2.5,3.0,8.47,0
321,111,5,5.0,5.0,9.45,1
321,109,4,4.0,4.0,9.13,1
327,114,3,3.0,3.0,9.02,0
331,115,5,4.0,3.5,9.44,1
299,100,2,3.0,3.5,7.88,0
327,113,4,4.5,5.0,9.14,0
303,100,2,3.0,3.5,8.06,1
316,106,2,2.5,4.0,8.32,0
304,104,3,2.5,2.0,8.12,0
340,115,5,5.0,4.5,9.06,1
323,110,3,4.0,3.5,9.1,1
308,108,3,3.5,3.5,8.22,0
314,102,4,2.5,2.0,7.88,1
314,109,4,3.5,4.0,8.77,1
310,106,4,4.5,4.5,9.04,1
323,108,5,4.0,4.0,8.74,1
314,110,3,4.0,4.0,8.8,0
324,107,4,4.0,4.5,8.87,1
313,107,2,2.5,2.0,8.5,1
317,100,2,3.0,2.5,8.57,0
326,112,3,3.5,3.0,9.05,1
300,100,3,3.0,3.5,8.26,0
325,110,4,4.5,4.0,8.96,1
320,111,4,4.5,3.5,8.87,1
290,104,4,2.0,2.5,7.46,0
322,112,4,3.5,2.5,9.02,1
330,116,4,5.0,4.5,9.45,1
302,99,2,1.0,2.0,7.97,0
332,108,5,4.5,4.0,9.02,1
309,105,2,2.5,4.0,7.68,0
300,105,1,1.0,2.0,7.8,0
313,106,2,2.5,2.0,8.43,0
312,100,1,3.0,3.0,8.53,1
312,105,3,2.0,3.0,8.02,1
320,113,2,2.0,2.5,8.64,1
299,100,3,2.0,3.0,7.42,0
304,105,1,3.0,1.5,7.5,0
313,94,2,2.5,1.5,8.13,0
340,114,5,4.0,4.0,9.6,1
338,115,5,4.5,5.0,9.23,1
295,96,2,1.5,2.0,7.34,0
307,108,2,4.0,3.5,7.7,0
331,116,5,4.0,4.0,9.26,1
321,109,3,3.0,4.0,8.2,1
327,113,3,3.5,3.0,8.66,1
324,111,4,3.0,3.0,9.01,1
316,100,2,1.5,3.0,8.16,1
315,106,3,4.5,3.5,8.42,0
324,112,5,5.0,5.0,9.08,1
321,110,3,3.5,5.0,8.85,1
336,119,5,4.0,3.5,9.8,1
331,116,5,5.0,5.0,9.38,1
322,107,3,3.5,3.5,8.46,1
320,104,3,3.0,2.5,8.57,1
321,102,3,3.5,4.0,9.01,1
324,111,5,4.5,4.0,9.16,1
314,103,2,2.0,3.0,8.21,0
325,108,4,4.5,4.0,9.06,1
315,104,3,4.0,2.5,8.1,0
329,113,5,5.0,4.5,9.45,1
313,104,3,4.0,4.5,8.65,0
299,97,3,5.0,3.5,7.66,0
324,107,5,3.5,4.0,8.66,1
304,103,5,5.0,4.0,8.64,0
306,103,3,3.5,3.0,8.21,0
338,117,4,3.5,4.5,9.46,1
297,98,2,2.5,3.0,7.67,0
301,102,3,2.5,2.0,8.13,1
314,105,2,2.5,2.0,7.64,0
331,112,5,4.0,5.0,9.8,1
298,92,1,2.0,2.0,7.88,0
322,112,3,3.0,4.0,8.62,1
297,96,2,2.5,1.5,7.89,0
316,109,4,4.5,3.5,8.76,1
340,120,4,4.5,4.0,9.92,1
310,106,2,3.5,2.5,8.33,0
308,108,4,4.5,5.0,8.34,0
314,105,3,3.5,2.5,8.3,0
323,110,5,4.0,5.0,8.98,1
306,110,2,3.5,4.0,8.45,0
328,112,4,4.0,4.5,9.1,1
298,101,2,1.5,2.0,7.86,0
315,105,3,2.0,2.5,8.34,0
304,105,2,3.0,3.0,8.2,1
311,104,3,3.5,2.0,8.2,1
314,106,2,4.0,3.5,8.25,0
307,109,3,4.0,3.0,8.0,1
326,116,2,4.5,3.0,9.08,1
311,107,4,4.5,4.5,9.0,1
311,104,3,4.0,3.5,8.13,1
302,110,3,4.0,4.5,8.5,0
320,108,3,3.5,4.0,8.44,1
302,102,1,2.0,1.5,8.0,0
327,111,4,4.0,4.5,9.0,1
311,98,1,1.0,2.5,7.46,0
317,103,3,2.5,3.0,8.54,1
324,115,3,3.5,3.0,8.76,1
309,111,2,2.5,4.0,8.03,0
308,102,2,2.0,3.5,7.98,1
310,102,3,3.5,4.0,8.02,1
306,105,2,2.5,3.0,8.22,1
305,103,2,2.5,3.5,8.13,0
311,99,1,2.5,3.0,8.43,1
324,110,3,3.5,4.0,8.87,1
300,97,2,3.0,3.0,8.1,1
297,101,3,2.0,4.0,7.67,1
327,104,5,3.0,3.5,8.84,1
306,106,2,2.0,2.5,8.14,0
334,119,5,4.5,4.5,9.48,1
318,109,3,3.0,3.0,8.5,0
290,100,1,1.5,2.0,7.56,0
308,106,3,3.5,2.5,8.21,1
336,118,5,4.5,5.0,9.53,1
308,110,3,3.5,3.0,8.0,1
293,97,2,2.0,4.0,7.8,1
330,116,5,5.0,4.5,9.36,1
315,105,2,2.0,2.5,7.65,0
329,114,5,4.0,5.0,9.3,1
336,118,5,4.5,4.0,9.19,1
311,105,3,3.5,3.0,8.45,1
314,107,3,3.0,3.5,8.17,1
340,113,4,5.0,5.0,9.74,1
300,102,3,3.5,2.5,8.17,0
324,113,5,4.0,5.0,9.25,1
312,98,1,3.5,3.0,8.18,1
331,117,4,4.5,5.0,9.42,1
323,111,5,4.0,5.0,9.86,1
309,108,3,2.5,3.0,8.12,0
321,111,3,3.5,4.0,8.83,1
299,100,2,2.0,2.0,7.88,0
329,119,4,4.5,4.5,9.16,1
334,114,4,4.0,4.0,9.43,1
334,119,5,5.0,4.5,9.7,1
321,109,4,4.0,4.0,8.68,1
302,99,3,2.5,3.0,7.45,0
316,107,2,3.5,3.5,8.64,1
321,112,3,3.0,4.5,8.95,1
323,108,3,3.5,3.0,8.6,0
333,117,4,5.0,4.0,9.66,1
309,104,2,2.0,2.5,8.26,0
306,100,2,3.0,3.0,8.0,0
316,109,3,3.5,3.0,8.76,0
300,95,2,3.0,1.5,8.22,1
311,105,2,3.0,2.0,8.12,1
329,111,4,4.5,4.0,9.01,1
331,115,5,4.5,3.5,9.36,1
295,93,1,2.0,2.0,7.2,0
326,111,5,4.5,4.0,9.23,1
323,112,5,4.0,4.5,8.78,0
313,98,3,2.5,4.5,8.3,1
298,98,2,1.5,2.5,7.5,1
324,111,3,2.5,2.0,8.8,1
317,106,3,3.5,3.0,7.89,1
336,119,4,4.5,4.0,9.62,1
313,101,3,2.5,3.0,8.04,0
327,113,4,4.5,4.5,9.04,0
300,98,1,2.0,2.5,8.02,0
313,109,3,4.0,3.5,9.0,0
325,112,4,3.5,3.5,8.92,0
313,102,3,2.0,3.0,8.27,0
298,99,2,4.0,2.0,7.6,0
312,107,4,4.5,4.0,8.65,1
309,106,2,2.5,2.5,8.0,0
321,107,2,2.0,1.5,8.44,0
312,105,2,2.0,2.5,8.45,0
336,112,5,5.0,5.0,9.76,1
327,113,4,3.5,3.0,8.69,1
317,105,3,3.5,3.0,8.56,0
326,112,3,3.5,3.0,9.1,1
335,117,5,5.0,5.0,9.82,1
305,104,2,2.5,1.5,7.79,0
308,103,2,2.5,4.0,8.36,1
299,102,3,4.0,3.5,8.62,0
317,104,2,3.0,3.0,8.76,0
318,110,3,4.0,3.0,8.8,0
338,120,4,5.0,5.0,9.66,1
310,101,3,3.5,5.0,8.65,1
318,103,3,4.0,4.5,8.49,1
327,113,4,4.5,4.5,9.11,1
321,111,3,2.5,3.0,8.9,1
299,106,2,4.0,4.0,8.4,0
330,114,3,4.5,4.5,9.24,1
303,102,3,3.5,3.0,8.5,0
324,100,3,4.0,5.0,8.64,1
314,102,2,2.0,2.5,8.24,0
304,107,3,3.5,3.0,7.86,0
320,112,4,3.0,4.5,8.86,1
298,100,3,2.5,4.0,7.95,1
322,112,4,4.5,4.5,9.26,1
307,102,3,3.0,3.0,8.27,0
307,105,2,2.0,3.5,8.1,0
322,114,5,4.5,4.0,8.94,1
315,99,2,3.5,3.0,7.89,0
324,110,3,3.5,3.0,9.22,1
325,114,4,3.0,2.0,8.4,0
334,116,4,4.0,3.5,9.54,1
315,110,2,3.5,3.0,8.46,1
311,101,2,2.5,3.5,8.34,1
327,103,3,4.0,4.0,8.3,1
322,110,3,3.5,3.0,8.96,1
317,106,3,4.0,3.5,8.5,1
327,111,4,3.0,4.0,8.4,1
333,119,5,5.0,4.5,9.78,1
301,107,3,3.5,3.5,8.34,1
338,118,4,3.0,4.5,9.4,1
309,99,3,4.0,4.0,8.56,0
304,102,2,3.0,4.0,8.73,0
335,117,5,5.0,5.0,9.56,1
325,111,3,3.0,3.5,8.7,0
316,98,1,1.5,2.0,7.43,0
312,107,3,3.0,2.0,7.9,1
324,105,3,3.0,4.0,8.75,0
316,105,3,3.0,3.5,8.73,0
311,104,3,4.5,4.5,8.43,0
314,106,3,3.0,5.0,8.9,0
323,113,3,4.0,4.0,8.88,1
316,110,3,4.0,4.5,8.78,1
328,116,5,5.0,5.0,9.5,1
323,107,3,3.5,3.5,8.55,1
312,107,3,3.0,3.0,8.46,1
295,99,2,2.5,3.0,7.65,0
310,106,4,1.5,2.5,8.36,0
327,112,3,3.0,3.0,8.72,1
313,102,3,2.5,2.5,8.68,0
298,98,2,4.0,3.0,8.03,0
299,94,1,1.0,1.0,7.34,0
295,99,1,2.0,1.5,7.57,0
317,107,3,4.0,3.0,8.7,0
307,110,4,4.0,4.5,8.37,0
326,114,3,3.0,3.0,9.11,1
323,113,4,4.0,4.5,9.23,1
307,107,2,3.0,3.5,8.52,1
320,104,3,3.0,3.5,8.74,1
328,113,4,4.0,2.5,8.77,1
301,97,2,3.0,3.0,7.88,1
331,120,3,4.0,4.0,8.96,1
301,96,1,3.0,4.0,7.56,0
320,110,5,5.0,4.5,9.22,1
328,110,4,5.0,4.0,9.14,1
312,106,3,3.0,5.0,8.57,0
315,101,3,3.5,4.5,9.13,0
324,110,3,3.5,3.5,9.04,1
294,95,1,1.5,1.5,7.64,0
296,99,2,2.5,2.5,8.03,0
310,110,1,1.5,4.0,7.23,1
316,111,4,4.0,5.0,8.54,0
323,104,3,4.0,4.0,8.44,1
304,103,5,5.0,3.0,7.92,0
322,110,5,4.5,4.0,8.97,0
317,103,2,2.5,2.0,8.15,0
324,112,4,4.5,4.0,9.22,1
321,114,4,4.0,5.0,9.12,0
301,98,1,2.0,3.0,8.03,1
322,110,5,5.0,4.0,9.1,1
298,101,4,2.5,4.5,7.69,1
312,100,2,1.5,3.5,7.9,1
300,101,3,3.5,2.5,7.88,0
316,99,2,2.5,3.0,9.0,0
300,102,2,1.5,2.0,7.87,0
331,119,4,5.0,4.5,9.34,1
326,112,4,4.0,3.5,9.12,1
310,105,2,3.0,3.5,8.01,0
319,110,3,3.0,2.5,8.79,0
321,114,5,4.5,4.5,9.16,1
329,111,4,4.5,4.0,9.23,1
312,99,1,1.0,1.5,8.01,1
298,105,3,3.5,4.0,8.54,0
301,100,3,3.5,3.0,8.04,0
